"","summary_glm","summary_gee","summary_re_nosig","summary_re","summary_cop","summary_cop_n","actuals","","","",""
"",-0.771313795702107,-0.771313795702093,-1.95144744528808,-2.77461332285131,-0.765144276357436,-0.688151996819763,-0.693147180559945,0.5,0.572556556556556,8,1
"",-0.812160277547338,-0.812160285930899,-1.97224086574191,-2.79844969212827,-0.802536887105958,-0.709486461310326,-0.693147180559945,0.5,0.569217217217217,8,1
"",-0.754748808046506,-0.754748808046494,-1.9695846158413,-1.51414630085108,-0.740646523367852,-0.658038845846665,-0.693147180559945,0.5,0.603311311311311,8,1
"",-0.783049718027163,-0.783049726120292,-1.97485853559658,-2.79113546383427,-0.763707248113187,-0.684529450986745,-0.693147180559945,0.5,0.610810810810811,8,1
"",-0.723075933174119,-0.723075933174102,-1.963803637499,-2.79786140263436,-0.737199551308838,-0.61427266562062,-0.693147180559945,0.5,0.624652652652653,8,1
"",-0.775782192895963,-0.775782197098453,-1.9633458407525,-1.6168716365174,-0.77275128223341,-0.672801572317451,-0.693147180559945,0.5,0.636192192192192,8,1
"",-0.752443136510967,-0.752443149607677,-1.96555624777428,-1.60225373396991,-0.710909749761454,-0.643818908099671,-0.693147180559945,0.5,0.642690690690691,8,1
"",-0.742613094792365,-0.742613094792357,-1.99160096490446,-1.66543002665634,-0.699775128988522,-0.625405255949518,-0.693147180559945,0.5,0.669405405405405,8,1
"",-0.743372284721133,-0.74337228472112,-2.01004269750816,-1.69761310192617,-0.719381816434399,-0.629513609520714,-0.693147180559945,0.5,0.674306306306306,8,1
"",-0.78943908017769,-0.789439094841829,-2.02610716421105,-2.79652895600849,-0.768642963152869,-0.67072040154468,-0.693147180559945,0.5,0.666794794794795,8,1
"",-0.518542591819614,-0.518542591819597,-1.00261059477797,-1.01312370753302,-0.520021802971894,-0.51261814074945,-0.510825623765991,0.6,0.161469469469469,5.55555555555556,0.694444444444444
"",-0.481725877508234,-0.481725877508224,-0.908104362017546,-0.88311790375923,-0.486016018430627,-0.475043382550521,-0.510825623765991,0.6,0.150734734734735,5.55555555555556,0.694444444444444
"",-0.539829853613016,-0.539829853613008,-1.22175236490442,-1.56695702056862,-0.543822454805072,-0.525323495668127,-0.510825623765991,0.6,0.286686686686687,5.55555555555556,0.694444444444444
"",-0.482264559866815,-0.482264559866801,-1.2195647069818,-2.22317063786645,-0.488455386846517,-0.461677346311089,-0.510825623765991,0.6,0.309377377377377,5.55555555555556,0.694444444444444
"",-0.529581122422322,-0.529581122422828,-1.37642559432107,-2.31225950892337,-0.532182400541124,-0.501261448090237,-0.510825623765991,0.6,0.365165165165165,5.55555555555556,0.694444444444444
"",-0.527773827060367,-0.527773827060595,-1.41268065423879,-1.64488542220737,-0.544849847850866,-0.49120023344873,-0.510825623765991,0.6,0.412696696696697,5.55555555555556,0.694444444444444
"",-0.543354538566343,-0.54335453856644,-1.41710510890439,-1.41651002864343,-0.54294788045405,-0.508685525585224,-0.510825623765991,0.6,0.428048048048048,5.55555555555556,0.694444444444444
"",-0.58610921814682,-0.586109218146819,-1.44158726875542,-2.3071022277431,-0.592448497942472,-0.548125687607329,-0.510825623765991,0.6,0.441373373373373,5.55555555555556,0.694444444444444
"",-0.552858125112368,-0.552858125112503,-1.46053775767361,-2.31372317947044,-0.544590156670204,-0.50836860272339,-0.510825623765991,0.6,0.478106106106106,5.55555555555556,0.694444444444444
"",-0.542283802376,-0.542283802376246,-1.48701048295966,-2.30776317831206,-0.540835125718087,-0.491642927148077,-0.510825623765991,0.6,0.513089089089089,5.55555555555556,0.694444444444444
"",-0.621395212448342,-0.621395212448341,-1.51377048648956,-2.33607195802324,-0.616721462568941,-0.569580344527147,-0.510825623765991,0.6,0.515451451451451,5.55555555555556,0.694444444444444
"",-0.589232949938536,-0.589232949938547,-1.50843178387657,-1.05367485066933,-0.567308696235879,-0.523367142861465,-0.510825623765991,0.6,0.537893893893894,5.55555555555556,0.694444444444444
"",-0.559311735527329,-0.559311735527396,-1.51876220981081,-1.07744045251939,-0.555526955019053,-0.493506258383249,-0.510825623765991,0.6,0.559743743743744,5.55555555555556,0.694444444444444
